,awayDiff,awayOutcome,awayTeam,gameState,homeDiff,homeOutcome,homeTeam,sbId,score,sport,total,__id__,id,awayOdds,awaySpread,awaySpreadOdds,dateTime,homeOdds,homeSpread,homeSpreadOdds,over,overOdds,under,underOdds
0,-11.0,L,Golden State Warriors,Final,11.0,W,Atlanta Hawks,17793.0,121-110,NBA,231.0,ATLGS3252022,ATLGS3252022,125,2.5,100,2022-03-25T19:30:00,-125,-2.5,100,221.5,100,221.5,100
1,-3.0,L,Indiana Pacers,Final,3.0,W,Atlanta Hawks,17707.0,131-128,NBA,259.0,ATLIND3132022,ATLIND3132022,590,12.0,100,2022-03-13T19:00:00,-590,-12.0,100,237.0,100,237.0,100
2,-6.0,L,Los Angeles Clippers,Final,6.0,W,Atlanta Hawks,17687.0,112-106,NBA,218.0,ATLLAC3112022,ATLLAC3112022,250,7.5,100,2022-03-11T19:30:00,-250,-7.5,100,226.5,100,226.5,100
3,-15.0,L,Memphis Grizzlies,Final,15.0,W,Atlanta Hawks,17738.0,120-105,NBA,225.0,ATLMEM3182022,ATLMEM3182022,-185,-5.5,100,2022-03-18T19:30:00,185,5.5,100,237.5,100,237.5,100
4,5.0,W,New Orleans Pelicans,Final,-5.0,L,Atlanta Hawks,17755.0,112-117,NBA,229.0,ATLNO3202022,ATLNO3202022,145,3.5,100,2022-03-20T18:00:00,-145,-3.5,100,233.0,100,233.0,100
5,-9.0,L,Portland Trail Blazers,Final,9.0,W,Atlanta Hawks,17712.0,122-113,NBA,235.0,ATLPOR3142022,ATLPOR3142022,685,13.5,100,2022-03-14T19:30:00,-685,-13.5,100,229.5,100,229.5,100
6,9.0,W,Charlotte Hornets,Final,-9.0,L,Brooklyn Nets,17812.0,110-119,NBA,229.0,BKNCHA3272022,BKNCHA3272022,215,6.5,100,2022-03-27T19:30:00,-215,-6.5,100,239.0,100,239.0,100
7,2.0,W,Dallas Mavericks,Final,-2.0,L,Brooklyn Nets,17727.0,111-113,NBA,224.0,BKNDAL3162022,BKNDAL3162022,-135,-3.0,100,2022-03-16T19:30:00,135,3.0,100,221.5,100,221.5,100
8,-7.0,L,Detroit Pistons,Final,7.0,W,Brooklyn Nets,17825.0,130-123,NBA,253.0,BKNDET3292022,BKNDET3292022,705,13.5,100,2022-03-29T19:30:00,-705,-13.5,100,234.0,100,234.0,100
9,-3.0,L,New York Knicks,Final,3.0,W,Brooklyn Nets,17703.0,110-107,NBA,217.0,BKNNY3132022,BKNNY3132022,195,5.5,100,2022-03-13T13:00:00,-195,-5.5,100,225.5,100,225.5,100
10,-5.0,L,Portland Trail Blazers,Final,5.0,W,Brooklyn Nets,17740.0,128-123,NBA,251.0,BKNPOR3182022,BKNPOR3182022,905,14.5,100,2022-03-18T19:30:00,-905,-14.5,100,227.5,100,227.5,100
11,-8.0,L,Utah Jazz,Final,8.0,W,Brooklyn Nets,17766.0,114-106,NBA,220.0,BKNUTA3212022,BKNUTA3212022,-110,-1.5,100,2022-03-21T19:30:00,110,1.5,100,229.5,100,229.5,100
12,3.0,W,Dallas Mavericks,Final,-3.0,L,Boston Celtics,17705.0,92-95,NBA,187.0,BOSDAL3132022,BOSDAL3132022,240,7.0,100,2022-03-13T15:30:00,-240,-7.0,100,213.5,100,213.5,100
13,-11.0,L,Detroit Pistons,Final,11.0,W,Boston Celtics,17688.0,114-103,NBA,217.0,BOSDET3112022,BOSDET3112022,780,14.5,100,2022-03-11T19:30:00,-780,-14.5,100,215.5,100,215.5,100
14,-22.0,L,Minnesota Timberwolves,Final,22.0,W,Boston Celtics,17807.0,134-112,NBA,246.0,BOSMIN3272022,BOSMIN3272022,210,6.0,100,2022-03-27T18:00:00,-210,-6.0,100,229.5,100,229.5,100
15,-28.0,L,Utah Jazz,Final,28.0,W,Boston Celtics,17778.0,125-97,NBA,222.0,BOSUTA3232022,BOSUTA3232022,175,5.0,100,2022-03-23T19:30:00,-175,-5.0,100,215.5,100,215.5,100
16,-10.0,L,Atlanta Hawks,Final,10.0,W,Charlotte Hornets,17726.0,116-106,NBA,222.0,CHAATL3162022,CHAATL3162022,-105,-1.0,100,2022-03-16T19:00:00,105,1.0,100,240.0,100,240.0,100
17,14.0,W,Boston Celtics,Final,-14.0,L,Charlotte Hornets,17673.0,101-115,NBA,216.0,CHABOS392022,CHABOS392022,-270,-7.5,100,2022-03-09T19:00:00,270,7.5,100,225.0,100,225.0,100
18,-21.0,L,Dallas Mavericks,Final,21.0,W,Charlotte Hornets,17750.0,129-108,NBA,237.0,CHADAL3192022,CHADAL3192022,110,1.5,100,2022-03-19T19:00:00,-110,-1.5,100,223.0,100,223.0,100
19,4.0,W,Denver Nuggets,Final,-4.0,L,Charlotte Hornets,17815.0,109-113,NBA,222.0,CHADEN3282022,CHADEN3282022,-145,-3.5,100,2022-03-28T19:00:00,145,3.5,100,233.5,100,233.5,100
20,-3.0,L,New Orleans Pelicans,Final,3.0,W,Charlotte Hornets,17765.0,106-103,NBA,209.0,CHANO3212022,CHANO3212022,210,6.0,100,2022-03-21T19:00:00,-210,-6.0,100,235.0,100,235.0,100
21,15.0,W,New York Knicks,Final,-15.0,L,Charlotte Hornets,17777.0,106-121,NBA,227.0,CHANY3232022,CHANY3232022,290,8.0,100,2022-03-23T19:00:00,-290,-8.0,100,224.0,100,224.0,100
22,-6.0,L,Utah Jazz,Final,6.0,W,Charlotte Hornets,17792.0,107-101,NBA,208.0,CHAUTA3252022,CHAUTA3252022,-150,-4.0,100,2022-03-25T19:00:00,150,4.0,100,227.0,100,227.0,100
23,-10.0,L,Cleveland Cavaliers,Final,10.0,W,Chicago Bulls,17696.0,101-91,NBA,192.0,CHICLE3122022,CHICLE3122022,185,5.0,100,2022-03-12T20:00:00,-185,-5.0,100,220.0,100,220.0,100
24,-14.0,L,Toronto Raptors,Final,14.0,W,Chicago Bulls,17767.0,113-99,NBA,212.0,CHITOR3212022,CHITOR3212022,155,4.0,100,2022-03-21T20:00:00,-155,-4.0,100,220.0,100,220.0,100
25,4.0,W,Chicago Bulls,Final,-4.0,L,Cleveland Cavaliers,17801.0,94-98,NBA,192.0,CLECHI3262022,CLECHI3262022,120,2.0,100,2022-03-26T20:00:00,-120,-2.0,100,223.5,100,223.5,100
26,-3.0,L,Denver Nuggets,F/OT,3.0,W,Cleveland Cavaliers,17739.0,119-116,NBA,235.0,CLEDEN3182022,CLEDEN3182022,-125,-2.5,100,2022-03-18T19:30:00,125,2.5,100,225.5,100,225.5,100
27,-4.0,L,Detroit Pistons,Final,4.0,W,Cleveland Cavaliers,17751.0,113-109,NBA,222.0,CLEDET3192022,CLEDET3192022,200,5.5,100,2022-03-19T20:00:00,-200,-5.5,100,216.5,100,216.5,100
28,-9.0,L,Los Angeles Clippers,F/OT,9.0,W,Cleveland Cavaliers,17711.0,120-111,NBA,231.0,CLELAC3142022,CLELAC3142022,250,7.5,100,2022-03-14T19:00:00,-250,-7.5,100,212.0,100,212.0,100
29,11.0,W,Los Angeles Lakers,Final,-11.0,L,Cleveland Cavaliers,17762.0,120-131,NBA,251.0,CLELAL3212022,CLELAL3212022,180,5.0,100,2022-03-21T19:00:00,-180,-5.0,100,227.0,100,227.0,100
30,-6.0,L,Orlando Magic,Final,6.0,W,Cleveland Cavaliers,17813.0,107-101,NBA,208.0,CLEORL3282022,CLEORL3282022,355,9.0,100,2022-03-28T19:00:00,-355,-9.0,100,217.5,100,217.5,100
31,4.0,W,Philadelphia 76ers,Final,-4.0,L,Cleveland Cavaliers,17725.0,114-118,NBA,232.0,CLEPHI3162022,CLEPHI3162022,-130,-3.0,100,2022-03-16T19:00:00,130,3.0,100,219.5,100,219.5,100
32,-19.0,L,Houston Rockets,Final,19.0,W,Dallas Mavericks,17783.0,110-91,NBA,201.0,DALHOU3232022,DALHOU3232022,435,10.5,100,2022-03-23T20:30:00,-435,-10.5,100,219.5,100,219.5,100
33,-18.0,L,Los Angeles Lakers,Final,18.0,W,Dallas Mavericks,17824.0,128-110,NBA,238.0,DALLAL3292022,DALLAL3292022,535,12.0,100,2022-03-29T19:30:00,-535,-12.0,100,219.5,100,219.5,100
34,-2.0,L,Minnesota Timberwolves,Final,2.0,W,Dallas Mavericks,17770.0,110-108,NBA,218.0,DALMIN3212022,DALMIN3212022,120,2.5,100,2022-03-21T20:30:00,-120,-2.5,100,230.0,100,230.0,100
35,30.0,W,New York Knicks,Final,-30.0,L,Dallas Mavericks,17679.0,77-107,NBA,184.0,DALNY392022,DALNY392022,330,8.5,100,2022-03-09T20:30:00,-330,-8.5,100,216.5,100,216.5,100
36,-14.0,L,Utah Jazz,Final,14.0,W,Dallas Mavericks,17811.0,114-100,NBA,214.0,DALUTA3272022,DALUTA3272022,-110,-1.5,100,2022-03-27T19:30:00,110,1.5,100,214.0,100,214.0,100
37,20.0,W,Boston Celtics,Final,-20.0,L,Denver Nuggets,17759.0,104-124,NBA,228.0,DENBOS3202022,DENBOS3202022,-125,-2.5,100,2022-03-20T20:00:00,125,2.5,100,221.5,100,221.5,100
38,11.0,W,Golden State Warriors,Final,-11.0,L,Denver Nuggets,17685.0,102-113,NBA,215.0,DENGS3102022,DENGS3102022,-120,-2.0,100,2022-03-10T22:00:00,120,2.0,100,229.0,100,229.0,100
39,-12.0,L,Los Angeles Clippers,Final,12.0,W,Denver Nuggets,17774.0,127-115,NBA,242.0,DENLAC3222022,DENLAC3222022,225,6.5,100,2022-03-22T22:00:00,-225,-6.5,100,222.5,100,222.5,100
40,-6.0,L,Oklahoma City Thunder,Final,6.0,W,Denver Nuggets,17804.0,113-107,NBA,220.0,DENOKC3262022,DENOKC3262022,805,15.0,100,2022-03-26T21:00:00,-805,-15.0,100,230.5,100,230.5,100
41,10.0,W,Phoenix Suns,Final,-10.0,L,Denver Nuggets,17790.0,130-140,NBA,270.0,DENPHO3242022,DENPHO3242022,105,1.0,100,2022-03-24T21:00:00,-105,-1.0,100,233.5,100,233.5,100
42,12.0,W,Toronto Raptors,Final,-12.0,L,Denver Nuggets,17700.0,115-127,NBA,242.0,DENTOR3122022,DENTOR3122022,230,6.5,100,2022-03-12T21:00:00,-230,-6.5,100,223.5,100,223.5,100
43,-21.0,L,Atlanta Hawks,Final,21.0,W,Detroit Pistons,17775.0,122-101,NBA,223.0,DETATL3232022,DETATL3232022,-170,-4.5,100,2022-03-23T19:00:00,170,4.5,100,227.0,100,227.0,100
44,6.0,W,Chicago Bulls,Final,-6.0,L,Detroit Pistons,17672.0,108-114,NBA,222.0,DETCHI392022,DETCHI392022,-205,-5.5,100,2022-03-09T19:00:00,205,5.5,100,228.0,100,228.0,100
45,4.0,W,Los Angeles Clippers,Final,-4.0,L,Detroit Pistons,17704.0,102-106,NBA,208.0,DETLAC3132022,DETLAC3132022,-185,-5.0,100,2022-03-13T15:00:00,185,5.0,100,218.0,100,218.0,100
46,2.0,W,New York Knicks,Final,-2.0,L,Detroit Pistons,17806.0,102-104,NBA,206.0,DETNY3272022,DETNY3272022,-175,-5.0,100,2022-03-27T15:30:00,175,5.0,100,217.5,100,217.5,100
47,4.0,W,Portland Trail Blazers,Final,-4.0,L,Detroit Pistons,17763.0,115-119,NBA,234.0,DETPOR3212022,DETPOR3212022,340,9.0,100,2022-03-21T19:00:00,-340,-9.0,100,222.0,100,222.0,100
48,3.0,W,Washington Wizards,Final,-3.0,L,Detroit Pistons,17791.0,97-100,NBA,197.0,DETWAS3252022,DETWAS3252022,155,4.0,100,2022-03-25T19:00:00,-155,-4.0,100,223.5,100,223.5,100
49,22.0,W,Boston Celtics,Final,-22.0,L,Golden State Warriors,17733.0,88-110,NBA,198.0,GSBOS3162022,GSBOS3162022,120,2.0,100,2022-03-16T22:00:00,-120,-2.0,100,219.5,100,219.5,100
50,-13.0,L,Milwaukee Bucks,Final,13.0,W,Golden State Warriors,17699.0,122-109,NBA,231.0,GSMIL3122022,GSMIL3122022,-115,-2.0,100,2022-03-12T20:30:00,115,2.0,100,238.5,100,238.5,100
51,2.0,W,San Antonio Spurs,Final,-2.0,L,Golden State Warriors,17760.0,108-110,NBA,218.0,GSSA3202022,GSSA3202022,225,6.5,100,2022-03-20T20:30:00,-225,-6.5,100,226.0,100,226.0,100
52,-14.0,L,Washington Wizards,Final,14.0,W,Golden State Warriors,17716.0,126-112,NBA,238.0,GSWAS3142022,GSWAS3142022,570,11.5,100,2022-03-14T22:00:00,-570,-11.5,100,225.5,100,225.5,100
53,13.0,W,Dallas Mavericks,Final,-13.0,L,Houston Rockets,17690.0,100-113,NBA,213.0,HOUDAL3112022,HOUDAL3112022,-465,-11.0,100,2022-03-11T20:00:00,465,11.0,100,225.5,100,225.5,100
54,3.0,W,Indiana Pacers,Final,-3.0,L,Houston Rockets,17743.0,118-121,NBA,239.0,HOUIND3182022,HOUIND3182022,-155,-4.0,100,2022-03-18T20:00:00,155,4.0,100,243.5,100,243.5,100
55,-9.0,L,Los Angeles Lakers,F/OT,9.0,W,Houston Rockets,17677.0,139-130,NBA,269.0,HOULAL392022,HOULAL392022,-205,-5.5,100,2022-03-09T20:00:00,205,5.5,100,234.0,100,234.0,100
56,24.0,W,Memphis Grizzlies,Final,-24.0,L,Houston Rockets,17753.0,98-122,NBA,220.0,HOUMEM3202022,HOUMEM3202022,-535,-12.5,100,2022-03-20T15:30:00,535,12.5,100,236.5,100,236.5,100
57,17.0,W,Phoenix Suns,Final,-17.0,L,Houston Rockets,17729.0,112-129,NBA,241.0,HOUPHO3162022,HOUPHO3162022,-495,-11.0,100,2022-03-16T20:00:00,495,11.0,100,235.5,100,235.5,100
58,3.0,W,San Antonio Spurs,Final,-3.0,L,Houston Rockets,17819.0,120-123,NBA,243.0,HOUSA3282022,HOUSA3282022,-330,-9.0,100,2022-03-28T20:00:00,330,9.0,100,233.0,100,233.0,100
59,-18.0,L,Washington Wizards,Final,18.0,W,Houston Rockets,17768.0,115-97,NBA,212.0,HOUWAS3212022,HOUWAS3212022,-180,-5.0,100,2022-03-21T20:00:00,180,5.0,100,234.0,100,234.0,100
60,9.0,W,Atlanta Hawks,Final,-9.0,L,Indiana Pacers,17814.0,123-132,NBA,255.0,INDATL3282022,INDATL3282022,-290,-8.0,100,2022-03-28T19:00:00,290,8.0,100,236.5,100,236.5,100
61,33.0,W,Memphis Grizzlies,Final,-33.0,L,Indiana Pacers,17720.0,102-135,NBA,237.0,INDMEM3152022,INDMEM3152022,-260,-7.5,100,2022-03-15T19:00:00,260,7.5,100,235.5,100,235.5,100
62,-31.0,L,Portland Trail Blazers,Final,31.0,W,Indiana Pacers,17754.0,129-98,NBA,227.0,INDPOR3202022,INDPOR3202022,245,7.0,100,2022-03-20T15:30:00,-245,-7.0,100,235.5,100,235.5,100
63,1.0,W,Sacramento Kings,Final,-1.0,L,Indiana Pacers,17776.0,109-110,NBA,219.0,INDSAC3232022,INDSAC3232022,175,5.0,100,2022-03-23T19:00:00,-175,-5.0,100,234.0,100,234.0,100
64,25.0,W,Philadelphia 76ers,Final,-25.0,L,Los Angeles Clippers,17797.0,97-122,NBA,219.0,LACPHI3252022,LACPHI3252022,-180,-5.0,100,2022-03-25T22:30:00,180,5.0,100,218.0,100,218.0,100
65,3.0,W,Toronto Raptors,Final,-3.0,L,Los Angeles Clippers,17735.0,100-103,NBA,203.0,LACTOR3162022,LACTOR3162022,105,1.0,100,2022-03-16T22:30:00,-105,-1.0,100,214.5,100,214.5,100
66,-6.0,L,Utah Jazz,Final,6.0,W,Los Angeles Clippers,17826.0,121-115,NBA,236.0,LACUTA3292022,LACUTA3292022,-110,-1.5,100,2022-03-29T22:00:00,110,1.5,100,217.5,100,217.5,100
67,-6.0,L,Washington Wizards,Final,6.0,W,Los Angeles Clippers,17683.0,115-109,NBA,224.0,LACWAS392022,LACWAS392022,155,4.0,100,2022-03-09T22:30:00,-155,-4.0,100,217.0,100,217.0,100
68,5.0,W,Philadelphia 76ers,Final,-5.0,L,Los Angeles Lakers,17784.0,121-126,NBA,247.0,LALPHI3232022,LALPHI3232022,-365,-9.5,100,2022-03-23T22:00:00,365,9.5,100,228.0,100,228.0,100
69,11.0,W,Toronto Raptors,Final,-11.0,L,Los Angeles Lakers,17718.0,103-114,NBA,217.0,LALTOR3142022,LALTOR3142022,-175,-5.0,100,2022-03-14T22:30:00,175,5.0,100,225.0,100,225.0,100
70,-13.0,L,Washington Wizards,Final,13.0,W,Los Angeles Lakers,17695.0,122-109,NBA,231.0,LALWAS3112022,LALWAS3112022,160,4.0,100,2022-03-11T22:30:00,-160,-4.0,100,229.0,100,229.0,100
71,-12.0,L,Brooklyn Nets,Final,12.0,W,Memphis Grizzlies,17780.0,132-120,NBA,252.0,MEMBKN3232022,MEMBKN3232022,-105,-1.0,100,2022-03-23T19:30:00,105,1.0,100,238.0,100,238.0,100
72,-28.0,L,Golden State Warriors,Final,28.0,W,Memphis Grizzlies,17820.0,123-95,NBA,218.0,MEMGS3282022,MEMGS3282022,485,11.0,100,2022-03-28T20:00:00,-485,-11.0,100,221.0,100,221.0,100
73,-30.0,L,Indiana Pacers,Final,30.0,W,Memphis Grizzlies,17789.0,133-103,NBA,236.0,MEMIND3242022,MEMIND3242022,535,11.5,100,2022-03-24T20:00:00,-535,-11.5,100,235.0,100,235.0,100
74,-25.0,L,Milwaukee Bucks,Final,25.0,W,Memphis Grizzlies,17803.0,127-102,NBA,229.0,MEMMIL3262022,MEMMIL3262022,115,2.0,100,2022-03-26T20:00:00,-115,-2.0,100,232.5,100,232.5,100
75,-4.0,L,New York Knicks,Final,4.0,W,Memphis Grizzlies,17692.0,118-114,NBA,232.0,MEMNY3112022,MEMNY3112022,350,9.5,100,2022-03-11T20:00:00,-350,-9.5,100,229.0,100,229.0,100
76,15.0,W,Brooklyn Nets,Final,-15.0,L,Miami Heat,17802.0,95-110,NBA,205.0,MIABKN3262022,MIABKN3262022,-155,-4.0,100,2022-03-26T20:00:00,155,4.0,100,230.0,100,230.0,100
77,-12.0,L,Cleveland Cavaliers,Final,12.0,W,Miami Heat,17691.0,117-105,NBA,222.0,MIACLE3112022,MIACLE3112022,255,7.5,100,2022-03-11T20:00:00,-255,-7.5,100,211.0,100,211.0,100
78,-7.0,L,Detroit Pistons,Final,7.0,W,Miami Heat,17722.0,105-98,NBA,203.0,MIADET3152022,MIADET3152022,655,13.0,100,2022-03-15T19:30:00,-655,-13.0,100,214.5,100,214.5,100
79,14.0,W,Golden State Warriors,Final,-14.0,L,Miami Heat,17779.0,104-118,NBA,222.0,MIAGS3232022,MIAGS3232022,395,10.0,100,2022-03-23T19:30:00,-395,-10.0,100,209.5,100,209.5,100
80,9.0,W,Minnesota Timberwolves,Final,-9.0,L,Miami Heat,17697.0,104-113,NBA,217.0,MIAMIN3122022,MIAMIN3122022,145,3.5,100,2022-03-12T20:00:00,-145,-3.5,100,229.5,100,229.5,100
81,8.0,W,New York Knicks,Final,-8.0,L,Miami Heat,17794.0,103-111,NBA,214.0,MIANY3252022,MIANY3252022,280,8.0,100,2022-03-25T20:00:00,-280,-8.0,100,215.0,100,215.0,100
82,-12.0,L,Oklahoma City Thunder,Final,12.0,W,Miami Heat,17744.0,120-108,NBA,228.0,MIAOKC3182022,MIAOKC3182022,1140,16.0,100,2022-03-18T20:00:00,-1140,-16.0,100,217.5,100,217.5,100
83,21.0,W,Phoenix Suns,Final,-21.0,L,Miami Heat,17674.0,90-111,NBA,201.0,MIAPHO392022,MIAPHO392022,170,4.5,100,2022-03-09T19:30:00,-170,-4.5,100,220.0,100,220.0,100
84,-23.0,L,Sacramento Kings,Final,23.0,W,Miami Heat,17816.0,123-100,NBA,223.0,MIASAC3282022,MIASAC3282022,625,12.5,100,2022-03-28T19:30:00,-625,-12.5,100,216.5,100,216.5,100
85,-9.0,L,Atlanta Hawks,Final,9.0,W,Milwaukee Bucks,17675.0,124-115,NBA,239.0,MILATL392022,MILATL392022,170,4.5,100,2022-03-09T20:00:00,-170,-4.5,100,239.5,100,239.5,100
