AwayDiff,AwayOutcome,AwayTeam,Date_Time,Game_State,HomeDiff,HomeOutcome,HomeTeam,Sb_id,Score,Sport,Total,__id__,id,awayDiff,awayOutcome,awayTeam,dateTime,gameState,homeDiff,homeOutcome,homeTeam,sbId,score,sport,total
"-11","L","Golden State Warriors","2022-03-25T19:30:00","Final","11","W","Atlanta Hawks","17793","121-110","NBA","231","ATLGS3252022","ATLGS3252022","","","","","","","","","","","",""
"-3","L","Indiana Pacers","2022-03-13T19:00:00","Final","3","W","Atlanta Hawks","17707","131-128","NBA","259","ATLIND3132022","ATLIND3132022","","","","","","","","","","","",""
"-6","L","Los Angeles Clippers","2022-03-11T19:30:00","Final","6","W","Atlanta Hawks","17687","112-106","NBA","218","ATLLAC3112022","ATLLAC3112022","","","","","","","","","","","",""
"-15","L","Memphis Grizzlies","2022-03-18T19:30:00","Final","15","W","Atlanta Hawks","17738","120-105","NBA","225","ATLMEM3182022","ATLMEM3182022","","","","","","","","","","","",""
"","","","","","","","","","","","","ATLMIA4222022","ATLMIA4222022","-1","L","Miami Heat","2022-04-22T19:00:00","Final","1","W","Atlanta Hawks","18061","111-110","NBA","221"
"","","","","","","","","","","","","ATLMIA4242022","ATLMIA4242022","24","W","Miami Heat","2022-04-24T19:00:00","Final","-24","L","Atlanta Hawks","18063","86-110","NBA","196"
"5","W","New Orleans Pelicans","2022-03-20T18:00:00","Final","-5","L","Atlanta Hawks","17755","112-117","NBA","229","ATLNO3202022","ATLNO3202022","","","","","","","","","","","",""
"-9","L","Portland Trail Blazers","2022-03-14T19:30:00","Final","9","W","Atlanta Hawks","17712","122-113","NBA","235","ATLPOR3142022","ATLPOR3142022","","","","","","","","","","","",""
"","","","","","","","","","","","","BKNBOS4232022","BKNBOS4232022","6","W","Boston Celtics","2022-04-23T19:30:00","Final","-6","L","Brooklyn Nets","18030","103-109","NBA","212"
"","","","","","","","","","","","","BKNBOS4252022","BKNBOS4252022","4","W","Boston Celtics","2022-04-25T19:00:00","Final","-4","L","Brooklyn Nets","18036","112-116","NBA","228"
"9","W","Charlotte Hornets","2022-03-27T19:30:00","Final","-9","L","Brooklyn Nets","17812","110-119","NBA","229","BKNCHA3272022","BKNCHA3272022","","","","","","","","","","","",""
"2","W","Dallas Mavericks","2022-03-16T19:30:00","Final","-2","L","Brooklyn Nets","17727","111-113","NBA","224","BKNDAL3162022","BKNDAL3162022","","","","","","","","","","","",""
"-7","L","Detroit Pistons","2022-03-29T19:30:00","Final","7","W","Brooklyn Nets","17825","130-123","NBA","253","BKNDET3292022","BKNDET3292022","","","","","","","","","","","",""
"-3","L","New York Knicks","2022-03-13T13:00:00","Final","3","W","Brooklyn Nets","17703","110-107","NBA","217","BKNNY3132022","BKNNY3132022","","","","","","","","","","","",""
"-5","L","Portland Trail Blazers","2022-03-18T19:30:00","Final","5","W","Brooklyn Nets","17740","128-123","NBA","251","BKNPOR3182022","BKNPOR3182022","","","","","","","","","","","",""
"-8","L","Utah Jazz","2022-03-21T19:30:00","Final","8","W","Brooklyn Nets","17766","114-106","NBA","220","BKNUTA3212022","BKNUTA3212022","","","","","","","","","","","",""
"","","","","","","","","","","","","BOSBKN4172022","BOSBKN4172022","-1","L","Brooklyn Nets","2022-04-17T15:30:00","Final","1","W","Boston Celtics","18018","115-114","NBA","229"
"","","","","","","","","","","","","BOSBKN4202022","BOSBKN4202022","-7","L","Brooklyn Nets","2022-04-20T19:00:00","Final","7","W","Boston Celtics","18023","114-107","NBA","221"
"3","W","Dallas Mavericks","2022-03-13T15:30:00","Final","-3","L","Boston Celtics","17705","92-95","NBA","187","BOSDAL3132022","BOSDAL3132022","","","","","","","","","","","",""
"-11","L","Detroit Pistons","2022-03-11T19:30:00","Final","11","W","Boston Celtics","17688","114-103","NBA","217","BOSDET3112022","BOSDET3112022","","","","","","","","","","","",""
"","","","","","","","","","","","","BOSMIL532022","BOSMIL532022","-23","L","Milwaukee Bucks","2022-05-03T19:00:00","Final","23","W","Boston Celtics","18072","109-86","NBA","195"
"-22","L","Minnesota Timberwolves","2022-03-27T18:00:00","Final","22","W","Boston Celtics","17807","134-112","NBA","246","BOSMIN3272022","BOSMIN3272022","","","","","","","","","","","",""
"-28","L","Utah Jazz","2022-03-23T19:30:00","Final","28","W","Boston Celtics","17778","125-97","NBA","222","BOSUTA3232022","BOSUTA3232022","","","","","","","","","","","",""
"-10","L","Atlanta Hawks","2022-03-16T19:00:00","Final","10","W","Charlotte Hornets","17726","116-106","NBA","222","CHAATL3162022","CHAATL3162022","","","","","","","","","","","",""
"14","W","Boston Celtics","2022-03-09T19:00:00","Final","-14","L","Charlotte Hornets","17673","101-115","NBA","216","CHABOS392022","CHABOS392022","","","","","","","","","","","",""
"-21","L","Dallas Mavericks","2022-03-19T19:00:00","Final","21","W","Charlotte Hornets","17750","129-108","NBA","237","CHADAL3192022","CHADAL3192022","","","","","","","","","","","",""
"4","W","Denver Nuggets","2022-03-28T19:00:00","Final","-4","L","Charlotte Hornets","17815","109-113","NBA","222","CHADEN3282022","CHADEN3282022","","","","","","","","","","","",""
"-3","L","New Orleans Pelicans","2022-03-21T19:00:00","Final","3","W","Charlotte Hornets","17765","106-103","NBA","209","CHANO3212022","CHANO3212022","","","","","","","","","","","",""
"15","W","New York Knicks","2022-03-23T19:00:00","Final","-15","L","Charlotte Hornets","17777","106-121","NBA","227","CHANY3232022","CHANY3232022","","","","","","","","","","","",""
"-6","L","Utah Jazz","2022-03-25T19:00:00","Final","6","W","Charlotte Hornets","17792","107-101","NBA","208","CHAUTA3252022","CHAUTA3252022","","","","","","","","","","","",""
"-10","L","Cleveland Cavaliers","2022-03-12T20:00:00","Final","10","W","Chicago Bulls","17696","101-91","NBA","192","CHICLE3122022","CHICLE3122022","","","","","","","","","","","",""
"","","","","","","","","","","","","CHIMIL4222022","CHIMIL4222022","30","W","Milwaukee Bucks","2022-04-22T20:30:00","Final","-30","L","Chicago Bulls","18029","81-111","NBA","192"
"","","","","","","","","","","","","CHIMIL4242022","CHIMIL4242022","24","W","Milwaukee Bucks","2022-04-24T13:00:00","Final","-24","L","Chicago Bulls","18034","95-119","NBA","214"
"-14","L","Toronto Raptors","2022-03-21T20:00:00","Final","14","W","Chicago Bulls","17767","113-99","NBA","212","CHITOR3212022","CHITOR3212022","","","","","","","","","","","",""
"4","W","Chicago Bulls","2022-03-26T20:00:00","Final","-4","L","Cleveland Cavaliers","17801","94-98","NBA","192","CLECHI3262022","CLECHI3262022","","","","","","","","","","","",""
"-3","L","Denver Nuggets","2022-03-18T19:30:00","F/OT","3","W","Cleveland Cavaliers","17739","119-116","NBA","235","CLEDEN3182022","CLEDEN3182022","","","","","","","","","","","",""
"-4","L","Detroit Pistons","2022-03-19T20:00:00","Final","4","W","Cleveland Cavaliers","17751","113-109","NBA","222","CLEDET3192022","CLEDET3192022","","","","","","","","","","","",""
